rule,wolfram_class,g_entropy_mean,g_entropy_std,g_corr_length_mean,g_temporal_acf_mean,g_compressibility_mean
86,3,0.9890863794726323,0.0013501946986777705,1.02,0.06099781622645324,0.5243564356435644
87,0,0.5615166496720262,0.08576196373886101,1.0,0.8776,0.41900990099009894
88,0,0.8043072950349732,0.05164451436089012,1.0,0.8639999999999999,0.4792079207920792
89,3,0.9890635515306179,0.0013678222014519225,1.08,0.05802917736052264,0.5225742574257426
90,3,0.0,0.0,0.0,1.0,0.2376237623762376
91,0,0.9860085396151724,0.01572057425134597,1.04,0.8708,0.47148514851485146
92,0,0.9283102112215446,0.06826057084729993,2.12,1.0,0.4075247524752475
93,0,0.9398340600919982,0.07302801810697764,2.12,1.0,0.41049504950495047
94,2,0.9750274038730705,0.02998463014272054,2.24,0.6714514006445225,0.44198019801980193
95,0,0.7549959271220491,0.08518287822299722,1.26,0.83,0.485940594059406
96,0,0.0,0.0,0.0,1.0,0.2376237623762376
97,0,0.754158470005424,0.017127184427559727,1.0,0.3643254937246678,0.4429702970297029
98,0,0.8028105627314714,0.0983512247822661,1.42,1.0,0.4538613861386138
99,0,0.3117366542458567,0.1794786922584113,2.1,0.9413836099211345,0.3031683168316832
100,0,0.7198590846901867,0.06051433841988384,1.0,1.0,0.4459405940594059
101,3,0.9892330089928799,0.001807473996573172,1.1,0.05917864105130397,0.5170297029702969
102,3,0.0,0.0,0.0,1.0,0.2376237623762376
103,0,0.9394012615021162,0.032021887233927654,1.02,0.5930375314693586,0.37366336633663366
104,2,0.46686751379833685,0.1775974743056913,2.1,1.0,0.3318811881188119
105,3,0.0,0.0,0.0,1.0,0.2376237623762376
106,4,0.9895427452941007,0.0017942215517416536,1.06,0.06315689723099424,0.5198019801980198
107,3,0.6686078095644468,0.020869565139467493,1.0,0.2710694694479434,0.4453465346534653
108,2,0.6843872174932444,0.11432821510004142,1.06,0.8639999999999999,0.4453465346534653
109,3,0.9768410442756423,0.015500839467295547,1.0,0.24547034036710472,0.5089108910891089
110,4,0.9750935963269975,0.004725432844578575,1.44,0.09062220096239613,0.4528712871287129
111,0,0.8550511068998946,0.03349695460104376,1.0,0.6796577480849898,0.37960396039603955
112,0,0.47822428191756045,0.1377003417841165,1.58,1.0,0.3687128712871287
113,0,0.32369651538713334,0.2360057332286734,1.9,1.0,0.3176237623762377
114,0,0.7779804297954972,0.1789642312716613,2.48,0.9822044449328834,0.37603960396039604
115,0,0.8696754242193346,0.11745822135783732,1.98,0.8469999999999999,0.4413861386138614
116,0,0.8533473570820721,0.040502196757021956,1.0,1.0,0.45504950495049507
117,0,0.8358039423624359,0.10150474992684562,1.0,1.0,0.3887128712871287
118,0,0.37801825580221055,0.09053612070501396,1.12,0.41510562676970514,0.3407920792079209
119,0,0.8626188652871383,0.06581702708509324,1.14,0.8402,0.4948514851485148
120,0,0.9884323320886524,0.0032855248766894365,1.02,0.07282909272035486,0.5223762376237624
121,3,0.6544208826614389,0.03162497199439047,1.0,0.2832231047979763,0.4392079207920792
122,3,0.5608675842985048,0.012994555175933235,1.0,0.07362707379010729,0.39643564356435634
123,0,0.8961745198199665,0.064270887458179,1.04,0.8605999999999999,0.4794059405940594
124,4,0.9741751225462558,0.004037476709410352,1.24,0.0837083829435144,0.46039603960396036
125,0,0.8474768469157747,0.035781181958437075,1.0,0.7579973660840855,0.3926732673267327
126,3,0.9416209190694458,0.006271493281108957,1.88,0.06876869248716723,0.46118811881188115
127,0,0.5133483145491706,0.09975036682367677,1.0,1.0,0.3952475247524753
128,1,0.0,0.0,0.0,1.0,0.2376237623762376
129,3,0.9408862472815119,0.005250198327503594,1.82,0.0652696782235787,0.46198019801980195
130,2,0.7020064313638928,0.05413175715872804,1.0,1.0,0.44455445544554456
131,4,0.913113205037353,0.00783987326848458,1.0,0.44316539821354234,0.38277227722772283
132,2,0.8258321412593489,0.07780986815047806,1.08,1.0,0.4548514851485148
133,0,0.9356462783073396,0.04040775055512734,1.08,0.6743399059047402,0.4556435643564356
134,2,0.8142988245579263,0.04085943358616709,1.0,0.8436,0.44059405940594054
135,0,0.9891968791622062,0.0012845285422293314,1.08,0.05965482468658375,0.5211881188118812
136,1,0.0,0.0,0.0,1.0,0.2376237623762376
137,4,0.8564776844413287,0.0020667465888104986,1.0,0.10494661583409226,0.4382178217821782
138,2,0.5591195782422917,0.10710454101097874,1.0,1.0,0.4047524752475248
139,0,0.9718060454569675,0.01893581937228287,1.0,1.0,0.44792079207920793
140,2,0.6917949142700127,0.03800453870893219,1.0,1.0,0.4332673267326733
141,0,0.5439882767858794,0.07305722292654859,1.0,1.0,0.3895049504950495
142,2,0.37476138286161226,0.21424284229366417,2.42,1.0,0.3176237623762377
