rule,polynomial,degree_profile,algebraic_degree,n_monomials,support_indices
67,1 ⊕ L ⊕ C ⊕ LCR,"(1,2,0,1)",3,4,0|1|2|7
68,C ⊕ CR,"(0,1,1,0)",2,2,2|6
69,1 ⊕ L ⊕ LC ⊕ R ⊕ LR ⊕ LCR,"(1,2,2,1)",3,6,0|1|3|4|5|7
70,C ⊕ R ⊕ LR ⊕ LCR,"(0,2,1,1)",3,4,2|4|5|7
71,1 ⊕ L ⊕ LC ⊕ CR,"(1,1,2,0)",2,4,0|1|3|6
72,LC ⊕ CR,"(0,0,2,0)",2,2,3|6
73,1 ⊕ L ⊕ C ⊕ R ⊕ LR ⊕ LCR,"(1,3,1,1)",3,6,0|1|2|4|5|7
74,LC ⊕ R ⊕ LR ⊕ LCR,"(0,1,2,1)",3,4,3|4|5|7
75,1 ⊕ L ⊕ C ⊕ CR,"(1,2,1,0)",2,4,0|1|2|6
76,C ⊕ LCR,"(0,1,0,1)",3,2,2|7
77,1 ⊕ L ⊕ LC ⊕ R ⊕ LR ⊕ CR,"(1,2,3,0)",2,6,0|1|3|4|5|6
78,C ⊕ R ⊕ LR ⊕ CR,"(0,2,2,0)",2,4,2|4|5|6
79,1 ⊕ L ⊕ LC ⊕ LCR,"(1,1,1,1)",3,4,0|1|3|7
80,L ⊕ LR,"(0,1,1,0)",2,2,1|5
81,1 ⊕ C ⊕ LC ⊕ R ⊕ CR ⊕ LCR,"(1,2,2,1)",3,6,0|2|3|4|6|7
82,L ⊕ R ⊕ CR ⊕ LCR,"(0,2,1,1)",3,4,1|4|6|7
83,1 ⊕ C ⊕ LC ⊕ LR,"(1,1,2,0)",2,4,0|2|3|5
84,L ⊕ C ⊕ LC ⊕ LR ⊕ CR ⊕ LCR,"(0,2,3,1)",3,6,1|2|3|5|6|7
85,1 ⊕ R,"(1,1,0,0)",1,2,0|4
86,L ⊕ C ⊕ LC ⊕ R,"(0,3,1,0)",2,4,1|2|3|4
87,1 ⊕ LR ⊕ CR ⊕ LCR,"(1,0,2,1)",3,4,0|5|6|7
88,L ⊕ LR ⊕ CR ⊕ LCR,"(0,1,2,1)",3,4,1|5|6|7
89,1 ⊕ C ⊕ LC ⊕ R,"(1,2,1,0)",2,4,0|2|3|4
90,L ⊕ R,"(0,2,0,0)",1,2,1|4
91,1 ⊕ C ⊕ LC ⊕ LR ⊕ CR ⊕ LCR,"(1,1,3,1)",3,6,0|2|3|5|6|7
92,L ⊕ C ⊕ LC ⊕ LR,"(0,2,2,0)",2,4,1|2|3|5
93,1 ⊕ R ⊕ CR ⊕ LCR,"(1,1,1,1)",3,4,0|4|6|7
94,L ⊕ C ⊕ LC ⊕ R ⊕ CR ⊕ LCR,"(0,3,2,1)",3,6,1|2|3|4|6|7
95,1 ⊕ LR,"(1,0,1,0)",2,2,0|5
96,LC ⊕ LR,"(0,0,2,0)",2,2,3|5
97,1 ⊕ L ⊕ C ⊕ R ⊕ CR ⊕ LCR,"(1,3,1,1)",3,6,0|1|2|4|6|7
98,LC ⊕ R ⊕ CR ⊕ LCR,"(0,1,2,1)",3,4,3|4|6|7
99,1 ⊕ L ⊕ C ⊕ LR,"(1,2,1,0)",2,4,0|1|2|5
100,C ⊕ LR ⊕ CR ⊕ LCR,"(0,1,2,1)",3,4,2|5|6|7
101,1 ⊕ L ⊕ LC ⊕ R,"(1,2,1,0)",2,4,0|1|3|4
102,C ⊕ R,"(0,2,0,0)",1,2,2|4
103,1 ⊕ L ⊕ LC ⊕ LR ⊕ CR ⊕ LCR,"(1,1,3,1)",3,6,0|1|3|5|6|7
104,LC ⊕ LR ⊕ CR ⊕ LCR,"(0,0,3,1)",3,4,3|5|6|7
105,1 ⊕ L ⊕ C ⊕ R,"(1,3,0,0)",1,4,0|1|2|4
106,LC ⊕ R,"(0,1,1,0)",2,2,3|4
107,1 ⊕ L ⊕ C ⊕ LR ⊕ CR ⊕ LCR,"(1,2,2,1)",3,6,0|1|2|5|6|7
108,C ⊕ LR,"(0,1,1,0)",2,2,2|5
109,1 ⊕ L ⊕ LC ⊕ R ⊕ CR ⊕ LCR,"(1,2,2,1)",3,6,0|1|3|4|6|7
110,C ⊕ R ⊕ CR ⊕ LCR,"(0,2,1,1)",3,4,2|4|6|7
111,1 ⊕ L ⊕ LC ⊕ LR,"(1,1,2,0)",2,4,0|1|3|5
112,L ⊕ LCR,"(0,1,0,1)",3,2,1|7
113,1 ⊕ C ⊕ LC ⊕ R ⊕ LR ⊕ CR,"(1,2,3,0)",2,6,0|2|3|4|5|6
114,L ⊕ R ⊕ LR ⊕ CR,"(0,2,2,0)",2,4,1|4|5|6
115,1 ⊕ C ⊕ LC ⊕ LCR,"(1,1,1,1)",3,4,0|2|3|7
116,L ⊕ C ⊕ LC ⊕ CR,"(0,2,2,0)",2,4,1|2|3|6
117,1 ⊕ R ⊕ LR ⊕ LCR,"(1,1,1,1)",3,4,0|4|5|7
118,L ⊕ C ⊕ LC ⊕ R ⊕ LR ⊕ LCR,"(0,3,2,1)",3,6,1|2|3|4|5|7
119,1 ⊕ CR,"(1,0,1,0)",2,2,0|6
120,L ⊕ CR,"(0,1,1,0)",2,2,1|6
121,1 ⊕ C ⊕ LC ⊕ R ⊕ LR ⊕ LCR,"(1,2,2,1)",3,6,0|2|3|4|5|7
122,L ⊕ R ⊕ LR ⊕ LCR,"(0,2,1,1)",3,4,1|4|5|7
123,1 ⊕ C ⊕ LC ⊕ CR,"(1,1,2,0)",2,4,0|2|3|6
124,L ⊕ C ⊕ LC ⊕ LCR,"(0,2,1,1)",3,4,1|2|3|7
125,1 ⊕ R ⊕ LR ⊕ CR,"(1,1,2,0)",2,4,0|4|5|6
126,L ⊕ C ⊕ LC ⊕ R ⊕ LR ⊕ CR,"(0,3,3,0)",2,6,1|2|3|4|5|6
127,1 ⊕ LCR,"(1,0,0,1)",3,2,0|7
128,LCR,"(0,0,0,1)",3,1,7
129,1 ⊕ L ⊕ C ⊕ LC ⊕ R ⊕ LR ⊕ CR,"(1,3,3,0)",2,7,0|1|2|3|4|5|6
130,R ⊕ LR ⊕ CR,"(0,1,2,0)",2,3,4|5|6
131,1 ⊕ L ⊕ C ⊕ LC ⊕ LCR,"(1,2,1,1)",3,5,0|1|2|3|7
132,C ⊕ LC ⊕ CR,"(0,1,2,0)",2,3,2|3|6
133,1 ⊕ L ⊕ R ⊕ LR ⊕ LCR,"(1,2,1,1)",3,5,0|1|4|5|7
134,C ⊕ LC ⊕ R ⊕ LR ⊕ LCR,"(0,2,2,1)",3,5,2|3|4|5|7
135,1 ⊕ L ⊕ CR,"(1,1,1,0)",2,3,0|1|6
136,CR,"(0,0,1,0)",2,1,6
137,1 ⊕ L ⊕ C ⊕ LC ⊕ R ⊕ LR ⊕ LCR,"(1,3,2,1)",3,7,0|1|2|3|4|5|7
138,R ⊕ LR ⊕ LCR,"(0,1,1,1)",3,3,4|5|7
139,1 ⊕ L ⊕ C ⊕ LC ⊕ CR,"(1,2,2,0)",2,5,0|1|2|3|6
140,C ⊕ LC ⊕ LCR,"(0,1,1,1)",3,3,2|3|7
141,1 ⊕ L ⊕ R ⊕ LR ⊕ CR,"(1,2,2,0)",2,5,0|1|4|5|6
142,C ⊕ LC ⊕ R ⊕ LR ⊕ CR,"(0,2,3,0)",2,5,2|3|4|5|6
143,1 ⊕ L ⊕ LCR,"(1,1,0,1)",3,3,0|1|7
144,L ⊕ LC ⊕ LR,"(0,1,2,0)",2,3,1|3|5
145,1 ⊕ C ⊕ R ⊕ CR ⊕ LCR,"(1,2,1,1)",3,5,0|2|4|6|7
146,L ⊕ LC ⊕ R ⊕ CR ⊕ LCR,"(0,2,2,1)",3,5,1|3|4|6|7
147,1 ⊕ C ⊕ LR,"(1,1,1,0)",2,3,0|2|5
148,L ⊕ C ⊕ LR ⊕ CR ⊕ LCR,"(0,2,2,1)",3,5,1|2|5|6|7
149,1 ⊕ LC ⊕ R,"(1,1,1,0)",2,3,0|3|4
150,L ⊕ C ⊕ R,"(0,3,0,0)",1,3,1|2|4
151,1 ⊕ LC ⊕ LR ⊕ CR ⊕ LCR,"(1,0,3,1)",3,5,0|3|5|6|7
152,L ⊕ LC ⊕ LR ⊕ CR ⊕ LCR,"(0,1,3,1)",3,5,1|3|5|6|7
