rule,t_start,duration,speed,start_position,end_position
110,435,9,-0.25,31.0,29.0
110,433,13,-0.2917,147.0,143.5
110,438,10,-0.2778,39.0,36.5
110,431,18,0.5588,151.0,160.5
110,441,8,-0.8571,138.0,132.0
110,328,122,0.4587,73.0,128.5
110,433,17,-0.125,35.0,33.0
110,412,39,0.6184,192.0,14.5
110,438,13,-0.5,151.0,145.0
110,430,22,0.3333,22.0,29.0
110,442,11,-0.8,176.0,168.0
110,365,90,0.6461,65.0,122.5
110,420,35,0.4118,150.0,164.0
110,441,15,0.5357,153.0,160.5
110,448,11,-0.8,138.0,130.0
110,432,28,0.0926,18.0,20.5
110,361,100,0.596,67.0,126.0
110,369,93,0.6467,63.0,122.5
110,451,11,-0.8,35.0,27.0
110,452,10,-0.1111,147.0,146.0
110,420,45,0.625,188.0,14.5
110,456,9,-0.25,164.0,162.0
110,370,97,0.6302,56.0,116.5
110,448,19,-0.6667,153.0,141.0
110,416,52,0.5392,190.0,16.5
110,459,10,-0.2778,172.0,169.5
110,444,26,-0.02,140.0,139.5
110,454,17,-0.125,168.0,166.0
110,462,9,-0.25,126.0,124.0
110,421,52,0.598,181.0,10.5
110,451,22,0.3333,155.0,162.0
110,465,9,0.4375,155.0,158.5
110,465,10,-0.2778,134.0,131.5
110,409,67,0.3561,190.0,12.5
110,460,17,-0.125,130.0,128.0
110,358,121,0.4917,65.0,124.0
110,381,99,0.648,57.0,120.5
110,460,20,-0.5263,24.0,14.0
110,470,12,-0.4545,145.0,140.0
110,432,51,0.63,182.0,12.5
110,472,11,-0.8,168.0,160.0
110,462,22,-0.6667,153.0,139.0
110,395,90,0.6461,57.0,114.5
110,469,16,0.2,153.0,156.0
110,446,42,0.622,182.0,6.5
110,475,13,-0.9167,25.0,14.0
110,478,11,-0.8,130.0,122.0
110,391,100,0.596,59.0,118.0
110,399,93,0.6467,55.0,114.5
110,450,42,0.622,180.0,4.5
110,478,14,-0.6154,33.0,25.0
110,483,11,-0.8,145.0,137.0
110,468,28,-0.1111,136.0,133.0
110,400,97,0.6302,48.0,108.5
110,486,11,-0.55,156.0,150.5
