rule,variant,entropy_mean,entropy_std,corr_length_mean,corr_length_std
122,"[E,D₂]",0.8942969740919441,0.011579192745198195,1.0782222222222224,0.031643071131249007
122,"[E²,D]",0.8400521190884451,0.014257174883049997,1.0,0.0
122,"[E³,D]",0.9620387093266891,0.00891432462120773,1.0,0.0
122,"[E⁴,D]",0.9789057917040401,0.0033488277952880108,1.0013333333333334,0.003173968190463484
122,"[E,[E,D]]",0.9490084220067091,0.006700832698885031,1.030888888888889,0.022672112635527025
122,"{E,D}",0.9863717780786913,0.0025463628292306125,1.0002222222222223,0.0011967032904743218
126,"[E,D]",0.8176678718329922,0.006375066452748194,1.0,0.0
126,"[E,D₂]",0.9493956570037747,0.004842011599797549,1.0,0.0
126,"[E²,D]",0.9854888899042843,0.0024385558923759143,1.0326666666666666,0.021106432230044967
126,"[E³,D]",0.9475772197696927,0.006815402139225973,1.0,0.0
126,"[E⁴,D]",0.9403068525305165,0.0026853151446421084,1.0155555555555553,0.010657403385139397
126,"[E,[E,D]]",0.9402528353100414,0.005785936761517866,1.2857777777777777,0.05716080846778987
126,"{E,D}",0.9862329294704393,0.0022202096803638537,1.0006666666666666,0.0035901098714230064
150,"[E,D]",0.0,0.0,0.0,0.0
150,"[E,D₂]",0.0,0.0,0.0,0.0
150,"[E²,D]",0.0,0.0,0.0,0.0
150,"[E³,D]",0.0,0.0,0.0,0.0
150,"[E⁴,D]",0.0,0.0,0.0,0.0
150,"[E,[E,D]]",0.0,0.0,0.0,0.0
150,"{E,D}",0.9927283558379979,0.0009402618276865416,1.0,0.0
184,"[E,D]",0.26298271197007267,0.1805033053568538,1.1,0.6506407098647712
184,"[E,D₂]",0.3417820681212381,0.18070397396832746,1.5,0.5
184,"[E²,D]",0.357117959261271,0.24605423984365266,1.0,0.5773502691896257
184,"[E³,D]",0.4749192793466945,0.2577462505327836,1.0,0.3651483716701107
184,"[E⁴,D]",0.40224904667363215,0.236664980579314,1.0666666666666667,0.5120763831912405
184,"[E,[E,D]]",0.17802837639270364,0.15993341795165483,1.0,0.816496580927726
184,"{E,D}",0.4605231024120347,0.200840241979057,2.3666666666666667,1.3535960336164634
193,"[E,D]",0.9234069167568327,0.006711194616599811,1.0,0.0
193,"[E,D₂]",0.9062506597449914,0.00851598692134668,1.0,0.0
193,"[E²,D]",0.9950733285131241,0.000953037094317776,1.0004444444444445,0.0016629588385661796
193,"[E³,D]",0.9900954013988581,0.005257571712238486,1.0,0.0
193,"[E⁴,D]",0.9963327214397169,0.0011914996780746246,1.0,0.0
193,"[E,[E,D]]",0.8877165527852036,0.006517507014541044,1.0395555555555556,0.01908525382540789
193,"{E,D}",0.0,0.0,0.0,0.0
232,"[E,D]",0.0,0.0,0.0,0.0
232,"[E,D₂]",0.0,0.0,0.0,0.0
232,"[E²,D]",0.0,0.0,0.0,0.0
232,"[E³,D]",0.0,0.0,0.0,0.0
232,"[E⁴,D]",0.0,0.0,0.0,0.0
232,"[E,[E,D]]",0.0,0.0,0.0,0.0
232,"{E,D}",0.0,0.0,0.0,0.0
