rule,wolfram_class,best_affine,perturbation_magnitude,perturbation_weight,perturbation_coherence,is_affine,g_entropy,g_entropy_std,g_corr_length
146,3,L^C^R,1,0.125,0.7142857142857143,False,0.9779988394444511,0.002883457867105135,1.0666666666666667
147,4,1^C,2,0.25,0.5714285714285714,False,0.8616609990518564,0.05250506629692691,1.2666666666666666
148,0,L^C^R,1,0.125,0.7142857142857143,False,0.8047536075571665,0.03868739673000076,1.0
149,3,1^R,2,0.25,0.8571428571428572,False,0.8068641621570056,0.003910332080365621,1.0
150,3,L^C^R,0,0.0,0.0,True,0.0,0.0,0.0
151,0,L^C^R,1,0.125,0.8571428571428572,False,0.955754155040737,0.004344912251049775,1.2
152,2,1^C^R,1,0.125,0.8571428571428572,False,0.9701468488013018,0.01894007936687598,1.3
153,3,1^C^R,0,0.0,0.0,True,0.0,0.0,0.0
154,2,R,2,0.25,0.7142857142857143,False,0.9435935191158719,0.01917376911844952,1.0
155,0,1^C^R,1,0.125,0.7142857142857143,False,0.9117071658137605,0.02695823266077248,1.0
156,2,C,2,0.25,0.4285714285714286,False,0.5320306271132579,0.06478890962658959,1.0
157,0,1^C^R,1,0.125,0.7142857142857143,False,0.8321386581622673,0.07284210707524226,1.1
158,0,L^C^R,1,0.125,0.7142857142857143,False,0.8079886624590803,0.06381816081560199,1.5333333333333334
159,0,1,2,0.25,0.7142857142857143,False,0.928361512577428,0.03307019948013442,1.0
160,1,0,2,0.25,0.5714285714285714,False,0.0,0.0,0.0
161,3,1^L^R,1,0.125,0.7142857142857143,False,0.5620654786078483,0.009405489624864118,1.0
162,2,R,1,0.125,0.7142857142857143,False,0.6478397939192129,0.04697050554699775,1.0
163,0,1^C,2,0.25,0.5714285714285714,False,0.7966156554610311,0.061405498623341756,1.0
164,2,1^L^R,1,0.125,0.8571428571428572,False,0.0,0.0,0.0
165,3,1^L^R,0,0.0,0.0,True,0.0,0.0,0.0
166,0,R,2,0.25,0.7142857142857143,False,0.9899627555325735,0.0083092035700997,1.0333333333333334
167,0,1^L^R,1,0.125,0.7142857142857143,False,0.8572990245400527,0.0615213274124036,1.0
168,1,R,1,0.125,0.7142857142857143,False,0.0,0.0,0.0
169,3,R,2,0.25,0.8571428571428572,False,0.9383523819003187,0.018783414210967263,1.9333333333333333
170,2,R,0,0.0,0.0,True,0.0,0.0,0.0
171,0,R,1,0.125,0.8571428571428572,False,0.5043318997321792,0.1390073756531972,1.8333333333333333
172,2,C,2,0.25,0.7142857142857143,False,0.0,0.0,0.0
173,0,1^L^R,1,0.125,0.7142857142857143,False,0.8959511489277939,0.07724519679966566,1.8
174,0,R,1,0.125,0.7142857142857143,False,0.6911869530867926,0.10961896279815589,1.0
175,0,1,2,0.25,0.4285714285714286,False,0.9443556527826491,0.059746741665041965,1.0666666666666667
176,0,L,1,0.125,0.7142857142857143,False,0.645252074699254,0.04238269324748015,1.0
177,0,L,2,0.25,0.5714285714285714,False,0.7855263170591402,0.06346710972990278,1.0
178,2,L,2,0.25,0.4285714285714286,False,0.0,0.0,0.0
179,0,1^C,1,0.125,0.8571428571428572,False,0.0,0.0,0.0
180,0,L,2,0.25,0.4285714285714286,False,0.986474865097709,0.01435709228782433,1.0333333333333334
181,3,1^L^R,1,0.125,0.7142857142857143,False,0.8712616653885974,0.0530748168061735,1.0
182,3,L^C^R,1,0.125,0.7142857142857143,False,0.8935116367391213,0.012307764511291893,2.3333333333333335
183,3,1,2,0.25,0.4285714285714286,False,0.6125611114185913,0.03629338227198467,1.0
184,2,L,2,0.25,0.4285714285714286,False,0.3047195254923373,0.200120732866915,1.1
185,0,1^C^R,1,0.125,0.7142857142857143,False,0.7303741198858604,0.14233630839077885,2.2333333333333334
186,0,R,1,0.125,0.7142857142857143,False,0.4312229164012512,0.053751991474324884,1.0
187,0,1,2,0.25,0.4285714285714286,False,0.8768860422359525,0.06444202673513581,1.7333333333333334
188,0,L^C,1,0.125,0.8571428571428572,False,0.9050153638538219,0.029270225689126673,1.0
189,0,1,2,0.25,0.4285714285714286,False,0.9786896386264278,0.019677921553663404,1.8333333333333333
190,0,1,2,0.25,0.5714285714285714,False,0.596844062889118,0.031710408944200984,1.0
191,0,1,1,0.125,0.7142857142857143,False,0.9485654355654349,0.04408854781096963,2.0
192,0,0,2,0.25,0.8571428571428572,False,0.0,0.0,0.0
193,4,1^L^C,1,0.125,0.7142857142857143,False,0.9228050310322993,0.006188200084786502,1.0
194,0,1^L^C,1,0.125,0.8571428571428572,False,0.9596890716818334,0.03353547736522175,1.1666666666666667
195,3,1^L^C,0,0.0,0.0,True,0.0,0.0,0.0
196,0,C,1,0.125,0.7142857142857143,False,0.0,0.0,0.0
197,0,C,2,0.25,0.5714285714285714,False,0.0,0.0,0.0
198,0,C,2,0.25,0.4285714285714286,False,0.5546108473288612,0.07587295897738218,1.0
199,0,1^L^C,1,0.125,0.7142857142857143,False,0.7951081099830295,0.0773447742490332,1.1333333333333333
200,2,C,1,0.125,0.7142857142857143,False,0.0,0.0,0.0
201,0,C,2,0.25,0.5714285714285714,False,0.50517606280509,0.14189584866696717,1.0
202,0,C,2,0.25,0.7142857142857143,False,0.0,0.0,0.0
203,0,1^L^C,1,0.125,0.7142857142857143,False,0.0,0.0,0.0
